config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=2",frozen_decoder_r2_mean,5,0.8921122074,0.8910340309,-0.001078176498,-0.01324932645,0.01109297345,0.01217114995,-0.2459502902,3,2,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=2",frozen_decoder_rmse_mean,5,78.75356445,79.1260025,0.3724380493,-4.08102248,4.825898579,4.45346053,0.2321910775,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=2",finetuned_decoder_r2_mean,5,0.9085499406,0.9102337956,0.001683855057,-0.003261300747,0.006629010861,0.004945155804,0.9453961241,3,2,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=2",finetuned_decoder_rmse_mean,5,72.534552,71.84064636,-0.6939056396,-2.704092472,1.316281193,2.010186832,-0.9584138578,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=20",mean_val_zeta,5,0.4934979796,0.07130532712,-0.4221926525,-0.4513118038,-0.3930735012,0.02911915126,-40.25511296,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=20",embedding_val_zeta,5,0.4506115456,0.2901620222,-0.1604495234,-0.2340443734,-0.08685467343,0.07359484997,-6.053131354,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=20",embedding_whole_val_regularization_raw,5,0.2517406,0.0023664,-0.2493742,-0.2762904762,-0.2224579238,0.02691627618,-25.72323795,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=20",frozen_decoder_r2_mean,5,0.8921122074,0.8031218171,-0.0889903903,-0.2122029428,0.03422216221,0.1232125525,-2.005290277,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=20",frozen_decoder_rmse_mean,5,78.75356445,104.2295303,25.47596588,-3.789209121,54.74114088,29.265175,2.416955332,5,0,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=20",finetuned_decoder_r2_mean,5,0.9085499406,0.9050797582,-0.003470182419,-0.009073399688,0.00213303485,0.005603217269,-1.719506942,1,4,0,0;1;2;3;4
