embedding_dim,feature_layer,model,metric,n,mean,ci95_low,ci95_high,ci95_half_width
512,output,finetuned_mlp,best_val_mse_z,5,0.0924867601858245,0.0913118810130901,0.0936616393585589,0.0011748791727344001
512,output,finetuned_mlp,corr_x,5,0.9598544782183985,0.9590544458846442,0.9606545105521529,0.0008000323337543577
512,output,finetuned_mlp,corr_y,5,0.9451924731135548,0.9445792634810085,0.9458056827461011,0.0006132096325462933
512,output,finetuned_mlp,mse_x,5,5124.55908203125,5018.161537712885,5230.956626349615,106.39754431836576
512,output,finetuned_mlp,mse_y,5,5632.2966796875,5557.514312091,5707.079047284,74.7823675964998
512,output,finetuned_mlp,r2_mean,5,0.9069785237312317,0.9058000276740111,0.9081570197884522,0.0011784960572205783
512,output,finetuned_mlp,r2_x,5,0.9209580898284913,0.9193170001109927,0.9225991795459898,0.0016410897174985314
512,output,finetuned_mlp,r2_y,5,0.8929989576339722,0.8915782583029656,0.8944196569649788,0.0014206993310066235
512,output,finetuned_mlp,rmse_mean,5,73.33819580078125,72.85899950656878,73.81739209499372,0.4791962942124736
512,output,finetuned_mlp,rmse_x,5,71.58403167724609,70.84226933433506,72.32579402015712,0.7417623429110358
512,output,finetuned_mlp,rmse_y,5,75.04777221679687,74.54987228814383,75.54567214544991,0.4978999286530439
512,output,frozen_mlp,best_val_mse_z,5,0.11518857628107071,0.11394111511670953,0.11643603744543189,0.0012474611643611764
512,output,frozen_mlp,corr_x,5,0.9502050129458237,0.9491984267455864,0.951211599146061,0.0010065862002373138
512,output,frozen_mlp,corr_y,5,0.9307557926561565,0.9297651072965667,0.9317464780157463,0.000990685359589803
512,output,frozen_mlp,mse_x,5,6325.616015625,6215.553283676562,6435.678747573437,110.06273194843786
512,output,frozen_mlp,mse_y,5,7065.49150390625,6948.808235897323,7182.174771915176,116.68326800892622
512,output,frozen_mlp,r2_mean,5,0.8841021299362183,0.88284517204037,0.8853590878320665,0.001256957895848285
512,output,frozen_mlp,r2_x,5,0.9024328231811524,0.9007352092052006,0.9041304371571042,0.0016976139759518189
512,output,frozen_mlp,r2_y,5,0.8657714605331421,0.8635547270086426,0.8679881940576417,0.00221673352449955
512,output,frozen_mlp,rmse_mean,5,81.8269256591797,81.38759190085457,82.26625941750481,0.4393337583251229
512,output,frozen_mlp,rmse_x,5,79.53218688964844,78.84220059801397,80.22217318128291,0.6899862916344685
512,output,frozen_mlp,rmse_y,5,84.05499267578125,83.36131862941917,84.74866672214333,0.6936740463620752
1024,hidden,finetuned_mlp,best_val_mse_z,5,0.09225279225243462,0.09154329631526405,0.09296228818960518,0.0007094959371705646
1024,hidden,finetuned_mlp,corr_x,5,0.960683833197599,0.9604416059737672,0.9609260604214308,0.00024222722383186772
1024,hidden,finetuned_mlp,corr_y,5,0.9447056251129267,0.9441872651759889,0.9452239850498644,0.000518359936937682
1024,hidden,finetuned_mlp,mse_x,5,5027.76044921875,4987.868082880351,5067.65281555715,39.892366338399334
1024,hidden,finetuned_mlp,mse_y,5,5686.55166015625,5626.861836673394,5746.241483639107,59.689823482856625
1024,hidden,finetuned_mlp,r2_mean,5,0.9072096705436706,0.9064978002832624,0.9079215408040788,0.0007118702604081767
1024,hidden,finetuned_mlp,r2_x,5,0.9224511384963989,0.9218358259510093,0.9230664510417885,0.000615312545389632
1024,hidden,finetuned_mlp,r2_y,5,0.8919682145118714,0.8908342268057103,0.8931022022180324,0.0011339877061609727
1024,hidden,finetuned_mlp,rmse_mean,5,73.19353790283203,72.92021231646721,73.46686348919685,0.27332558636481297
1024,hidden,finetuned_mlp,rmse_x,5,70.90641326904297,70.62507104604568,71.18775549204027,0.28134222299729206
1024,hidden,finetuned_mlp,rmse_y,5,75.40868835449218,75.01261463795358,75.8047620710308,0.39607371653861406
1024,hidden,frozen_mlp,best_val_mse_z,5,0.10875708609819412,0.10722864838623786,0.11028552381015039,0.0015284377119562712
